#time,V_x,k,SlipAngle,LateralForce,DynamicS,AbsVy,
291,[2.28685318e-12],10000,[0.],0.0,[0.]
292,[1.85260447e-12],10000,[0.],0.0,[0.]
293,[1.50188088e-12],10000,[0.],0.0,[0.]
294,[1.21830725e-12],10000,[0.],0.0,[0.]
295,[9.88628278e-13],10000,[0.],0.0,[0.]
296,[8.03188812e-13],10000,[0.],0.0,[0.]
297,[6.5300865e-13],10000,[0.],0.0,[0.]
298,[5.31477484e-13],10000,[0.],0.0,[0.]
299,[4.32704256e-13],10000,[0.],0.0,[0.]
300,[3.52958099e-13],10000,[0.],0.0,[0.]
301,[2.88338586e-13],10000,[0.],0.0,[0.]
302,[2.35567332e-13],10000,[0.],0.0,[0.]
303,[1.9292365e-13],10000,[0.],0.0,[0.]
304,[1.58134253e-13],10000,[0.],0.0,[0.]
305,[1.30223251e-13],10000,[0.],0.0,[0.]
306,[1.06955691e-13],10000,[0.],0.0,[0.]
307,[8.8362742e-14],10000,[0.],0.0,[0.]
308,[7.30444188e-14],10000,[0.],0.0,[0.]
309,[6.03935231e-14],10000,[0.],0.0,[0.]
310,[5.02641323e-14],10000,[0.],0.0,[0.]
311,[4.17543122e-14],10000,[0.],0.0,[0.]
312,[3.45915357e-14],10000,[0.],0.0,[0.]
313,[2.91410437e-14],10000,[0.],0.0,[0.]
314,[2.43960218e-14],10000,[0.],0.0,[0.]
315,[2.04480256e-14],10000,[0.],0.0,[0.]
316,[1.73148654e-14],10000,[0.],0.0,[0.]
317,[1.45098588e-14],10000,[0.],0.0,[0.]
318,[1.24783378e-14],10000,[0.],0.0,[0.]
319,[1.04495708e-14],10000,[0.],0.0,[0.]
320,[0.],10000,[0.],0.0,[0.]
321,[0.],10000,[0.],0.0,[0.]
322,[0.],10000,[0.],0.0,[0.]
323,[0.],10000,[0.],0.0,[0.]
324,[0.],10000,[0.],0.0,[0.]
325,[0.],10000,[0.],0.0,[0.]
326,[0.],10000,[0.],0.0,[0.]
327,[0.],10000,[0.],0.0,[0.]
